event_id,investigation_id,evidence_file_id,line_number,timestamp,hostname,process,process_id,event_type,event_category,username,target_username,source_ip,source_port,authentication_method,command,result,raw_message,classification,severity,confidence,matched_rule_ids,parsing_error,created_at
event-50ed68d0e003,inv-248600b1fbdc,file-82f07ce6a1e7,1,2026-03-09T06:10:00,webserver01,CRON,1005,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.791711
event-86beee262311,inv-248600b1fbdc,file-82f07ce6a1e7,2,2026-03-09T06:28:00,webserver01,CRON,1007,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.794598
event-6b467fb53002,inv-248600b1fbdc,file-82f07ce6a1e7,3,2026-03-09T07:05:00,webserver01,CRON,1014,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.794772
event-56c4df45f5f5,inv-248600b1fbdc,file-82f07ce6a1e7,4,2026-03-09T07:10:00,webserver01,CRON,1018,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.794925
event-a6641fc19fb4,inv-248600b1fbdc,file-82f07ce6a1e7,5,2026-03-09T07:27:00,webserver01,sshd,1019,ssh_accepted,authentication,aritra,,203.0.113.7,57856,publickey,,success,Accepted publickey for aritra from 203.0.113.7 port 57856 ssh2: RSA SHA256:9fK2j...,Normal,Informational,0.5,[],,2026-08-03T16:44:07.795080
event-693de0680d4e,inv-248600b1fbdc,file-82f07ce6a1e7,6,2026-03-09T07:27:00,webserver01,sshd,1019,ssh_session_opened,session,aritra,,,,,,success,pam_unix(sshd:session): session opened for user aritra by (uid=0),Normal,Informational,0.5,[],,2026-08-03T16:44:07.795271
event-cab6ac25b17e,inv-248600b1fbdc,file-82f07ce6a1e7,7,2026-03-09T07:56:00,webserver01,CRON,1024,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.795392
event-ef0b4d9a21bf,inv-248600b1fbdc,file-82f07ce6a1e7,8,2026-03-09T07:59:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 814 of user deploy.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.795537
event-615a1749010e,inv-248600b1fbdc,file-82f07ce6a1e7,9,2026-03-09T08:23:00,webserver01,CRON,1031,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.795640
event-46435fb18af9,inv-248600b1fbdc,file-82f07ce6a1e7,10,2026-03-09T08:47:00,webserver01,CRON,1038,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.795761
event-92c0ec691d76,inv-248600b1fbdc,file-82f07ce6a1e7,11,2026-03-09T08:56:00,webserver01,sudo,,sudo_command,privilege,aritra,,,,,/usr/bin/tail -f /var/log/nginx/access.log,success,aritra : TTY=pts/0 ; PWD=/home/aritra ; USER=root ; COMMAND=/usr/bin/tail -f /var/log/nginx/access.log,Normal,Informational,0.5,[],,2026-08-03T16:44:07.795875
event-080cc90f6b65,inv-248600b1fbdc,file-82f07ce6a1e7,12,2026-03-09T09:01:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.795999
event-9f630dade529,inv-248600b1fbdc,file-82f07ce6a1e7,13,2026-03-09T09:11:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 180 of user aritra.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.796106
event-cc66a29b153f,inv-248600b1fbdc,file-82f07ce6a1e7,14,2026-03-09T09:32:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 691 of user ubuntu.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.796201
event-0167d55876c2,inv-248600b1fbdc,file-82f07ce6a1e7,15,2026-03-09T09:39:00,webserver01,CRON,1070,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.796300
event-6d4eec8e238c,inv-248600b1fbdc,file-82f07ce6a1e7,16,2026-03-09T10:00:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 987 of user ubuntu.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.796419
event-efc8d9d66dcb,inv-248600b1fbdc,file-82f07ce6a1e7,17,2026-03-09T10:27:00,webserver01,CRON,1080,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.796515
event-fbf1f0f94b01,inv-248600b1fbdc,file-82f07ce6a1e7,18,2026-03-09T10:40:00,webserver01,sudo,,sudo_command,privilege,aritra,,,,,/usr/bin/tail -f /var/log/nginx/access.log,success,aritra : TTY=pts/0 ; PWD=/home/aritra ; USER=root ; COMMAND=/usr/bin/tail -f /var/log/nginx/access.log,Normal,Informational,0.5,[],,2026-08-03T16:44:07.796637
event-721045c30aad,inv-248600b1fbdc,file-82f07ce6a1e7,19,2026-03-09T10:47:00,webserver01,sshd,1087,ssh_session_closed,session,aritra,,,,,,success,pam_unix(sshd:session): session closed for user aritra,Normal,Informational,0.5,[],,2026-08-03T16:44:07.796747
event-6388b101aa28,inv-248600b1fbdc,file-82f07ce6a1e7,20,2026-03-09T11:05:00,webserver01,CRON,1094,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.796849
event-0e786bc5f16b,inv-248600b1fbdc,file-82f07ce6a1e7,21,2026-03-09T11:25:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 324 of user aritra.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.797104
event-e5c9f2825f7a,inv-248600b1fbdc,file-82f07ce6a1e7,22,2026-03-09T11:48:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 334 of user ubuntu.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.797250
event-463ea1711fbe,inv-248600b1fbdc,file-82f07ce6a1e7,23,2026-03-09T12:11:00,webserver01,sudo,,sudo_command,privilege,ubuntu,,,,,/usr/bin/tail -f /var/log/nginx/access.log,success,ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/tail -f /var/log/nginx/access.log,Normal,Informational,0.5,[],,2026-08-03T16:44:07.797384
event-08c93ce9fce0,inv-248600b1fbdc,file-82f07ce6a1e7,24,2026-03-09T12:27:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.797531
event-7004865de830,inv-248600b1fbdc,file-82f07ce6a1e7,25,2026-03-09T12:59:00,webserver01,CRON,1116,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.797674
event-23268ed5d17b,inv-248600b1fbdc,file-82f07ce6a1e7,26,2026-03-09T13:17:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.797839
event-f740f829a413,inv-248600b1fbdc,file-82f07ce6a1e7,27,2026-03-09T13:36:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.797981
event-67097a72f95c,inv-248600b1fbdc,file-82f07ce6a1e7,28,2026-03-09T14:16:00,webserver01,sudo,,sudo_command,privilege,ubuntu,,,,,/usr/bin/df -h,success,ubuntu : TTY=pts/0 ; PWD=/home/ubuntu ; USER=root ; COMMAND=/usr/bin/df -h,Normal,Informational,0.5,[],,2026-08-03T16:44:07.798088
event-1681e2fb7623,inv-248600b1fbdc,file-82f07ce6a1e7,29,2026-03-09T14:24:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 256 of user aritra.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.798200
event-eafe401e0669,inv-248600b1fbdc,file-82f07ce6a1e7,30,2026-03-09T14:37:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 710 of user ubuntu.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.798299
event-d0dc878d3472,inv-248600b1fbdc,file-82f07ce6a1e7,31,2026-03-09T15:04:00,webserver01,sudo,,sudo_command,privilege,aritra,,,,,/usr/bin/tail -f /var/log/nginx/access.log,success,aritra : TTY=pts/0 ; PWD=/home/aritra ; USER=root ; COMMAND=/usr/bin/tail -f /var/log/nginx/access.log,Normal,Informational,0.5,[],,2026-08-03T16:44:07.798395
event-1694ba51e31e,inv-248600b1fbdc,file-82f07ce6a1e7,32,2026-03-09T15:42:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 796 of user aritra.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.798520
event-b73aa60d4245,inv-248600b1fbdc,file-82f07ce6a1e7,33,2026-03-09T15:52:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.798644
event-7509854b53a8,inv-248600b1fbdc,file-82f07ce6a1e7,34,2026-03-09T16:12:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 214 of user deploy.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.798896
event-bad55e0cd338,inv-248600b1fbdc,file-82f07ce6a1e7,35,2026-03-09T16:42:00,webserver01,CRON,1170,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.799037
event-fd7633c37023,inv-248600b1fbdc,file-82f07ce6a1e7,36,2026-03-09T17:01:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 619 of user ubuntu.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.799176
event-422738c74036,inv-248600b1fbdc,file-82f07ce6a1e7,37,2026-03-09T17:23:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 723 of user ubuntu.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.799274
event-f1409554986d,inv-248600b1fbdc,file-82f07ce6a1e7,38,2026-03-09T17:35:00,webserver01,sudo,,sudo_command,privilege,aritra,,,,,/usr/bin/systemctl restart nginx,success,aritra : TTY=pts/0 ; PWD=/home/aritra ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx,Normal,Informational,0.5,[],,2026-08-03T16:44:07.799374
event-e992b2a14a3a,inv-248600b1fbdc,file-82f07ce6a1e7,39,2026-03-09T17:58:00,webserver01,sshd,1187,ssh_accepted,authentication,deploy,,203.0.113.22,47846,publickey,,success,Accepted publickey for deploy from 203.0.113.22 port 47846 ssh2: RSA SHA256:9fK2j...,Normal,Informational,0.5,[],,2026-08-03T16:44:07.799501
event-5496c6df3d03,inv-248600b1fbdc,file-82f07ce6a1e7,40,2026-03-09T17:58:00,webserver01,sshd,1187,ssh_session_opened,session,deploy,,,,,,success,pam_unix(sshd:session): session opened for user deploy by (uid=0),Normal,Informational,0.5,[],,2026-08-03T16:44:07.799631
event-717a6907464b,inv-248600b1fbdc,file-82f07ce6a1e7,41,2026-03-09T18:04:00,webserver01,CRON,1189,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.799771
event-435abba614e4,inv-248600b1fbdc,file-82f07ce6a1e7,42,2026-03-09T18:12:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.799929
event-40ecee405d40,inv-248600b1fbdc,file-82f07ce6a1e7,43,2026-03-09T18:49:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 775 of user deploy.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.800063
event-130753eb947b,inv-248600b1fbdc,file-82f07ce6a1e7,44,2026-03-09T19:27:00,webserver01,CRON,1203,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.800198
event-8d5871a1f734,inv-248600b1fbdc,file-82f07ce6a1e7,45,2026-03-09T19:57:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 873 of user aritra.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.800358
event-beb9eb2f6f4f,inv-248600b1fbdc,file-82f07ce6a1e7,46,2026-03-09T20:12:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.800485
event-6abe33862a25,inv-248600b1fbdc,file-82f07ce6a1e7,47,2026-03-09T20:38:00,webserver01,sudo,,sudo_command,privilege,deploy,,,,,/usr/bin/systemctl restart nginx,success,deploy : TTY=pts/0 ; PWD=/home/deploy ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx,Normal,Informational,0.5,[],,2026-08-03T16:44:07.800592
event-b640a03063b2,inv-248600b1fbdc,file-82f07ce6a1e7,48,2026-03-09T20:56:00,webserver01,CRON,1234,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.800703
event-71d4e6c96f3e,inv-248600b1fbdc,file-82f07ce6a1e7,49,2026-03-09T21:00:00,webserver01,sshd,1238,ssh_session_closed,session,aritra,,,,,,success,pam_unix(sshd:session): session closed for user aritra,Normal,Informational,0.5,[],,2026-08-03T16:44:07.800826
event-1519bd19795c,inv-248600b1fbdc,file-82f07ce6a1e7,50,2026-03-09T21:17:00,webserver01,CRON,1239,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.800931
event-b3a90398e42f,inv-248600b1fbdc,file-82f07ce6a1e7,51,2026-03-09T21:34:00,webserver01,CRON,1240,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.801048
event-0ba9cd1ae5ce,inv-248600b1fbdc,file-82f07ce6a1e7,52,2026-03-09T21:58:00,webserver01,CRON,1244,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.801165
event-756eb0c9c07e,inv-248600b1fbdc,file-82f07ce6a1e7,53,2026-03-09T22:18:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.801287
event-f54a5c4c82db,inv-248600b1fbdc,file-82f07ce6a1e7,54,2026-03-09T22:55:00,webserver01,CRON,1256,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet,success,(root) CMD (/usr/bin/certbot renew --quiet),Normal,Informational,0.5,[],,2026-08-03T16:44:07.801387
event-70d7cff74bad,inv-248600b1fbdc,file-82f07ce6a1e7,55,2026-03-09T23:13:00,webserver01,systemd-logind,612,unparsed,unknown,,,,,,,,New session 294 of user ubuntu.,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.801499
event-7aac91f1a3b1,inv-248600b1fbdc,file-82f07ce6a1e7,56,2026-03-09T23:22:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Starting Daily apt download activities...,Unknown,Informational,0.5,[],,2026-08-03T16:44:07.801597
event-ca6ad8c5a05c,inv-248600b1fbdc,file-82f07ce6a1e7,57,2026-03-09T23:52:00,webserver01,sudo,,sudo_command,privilege,aritra,,,,,/usr/bin/systemctl restart nginx,success,aritra : TTY=pts/0 ; PWD=/home/aritra ; USER=root ; COMMAND=/usr/bin/systemctl restart nginx,Normal,Informational,0.5,[],,2026-08-03T16:44:07.801692
event-d838fb275ee3,inv-248600b1fbdc,file-82f07ce6a1e7,58,2026-03-10T03:14:02,webserver01,sshd,1398,ssh_invalid_user,authentication,database,,198.51.100.23,42400,,,failed,Invalid user database from 198.51.100.23 port 42400,Suspicious,Medium,0.5,['AUTH-002'],,2026-08-03T16:44:07.801799
event-53aed8351118,inv-248600b1fbdc,file-82f07ce6a1e7,59,2026-03-10T03:14:02,webserver01,sshd,1398,unparsed,unknown,,,,,,,,input_userauth_request: invalid user database [preauth],Unknown,Informational,0.5,[],,2026-08-03T16:44:07.801893
event-6b7be9c5d5d3,inv-248600b1fbdc,file-82f07ce6a1e7,60,2026-03-10T03:14:02,webserver01,sshd,1398,ssh_invalid_user,authentication,database,,198.51.100.23,42400,,,failed,Failed password for invalid user database from 198.51.100.23 port 42400 ssh2,Suspicious,Medium,0.5,['AUTH-002'],,2026-08-03T16:44:07.802006
event-dcebacf55e7c,inv-248600b1fbdc,file-82f07ce6a1e7,61,2026-03-10T03:14:35,webserver01,sshd,1407,ssh_invalid_user,authentication,postgres,,198.51.100.23,48690,,,failed,Invalid user postgres from 198.51.100.23 port 48690,Suspicious,Medium,0.5,['AUTH-002'],,2026-08-03T16:44:07.802099
event-e105f097110a,inv-248600b1fbdc,file-82f07ce6a1e7,62,2026-03-10T03:14:35,webserver01,sshd,1407,unparsed,unknown,,,,,,,,input_userauth_request: invalid user postgres [preauth],Unknown,Informational,0.5,[],,2026-08-03T16:44:07.802187
event-065e82f6e242,inv-248600b1fbdc,file-82f07ce6a1e7,63,2026-03-10T03:14:35,webserver01,sshd,1407,ssh_invalid_user,authentication,postgres,,198.51.100.23,48690,,,failed,Failed password for invalid user postgres from 198.51.100.23 port 48690 ssh2,Suspicious,Medium,0.5,['AUTH-002'],,2026-08-03T16:44:07.802308
event-d78abaacb92e,inv-248600b1fbdc,file-82f07ce6a1e7,64,2026-03-10T03:15:17,webserver01,sshd,1409,ssh_invalid_user,authentication,pi,,198.51.100.23,48004,,,failed,Invalid user pi from 198.51.100.23 port 48004,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.802400
event-c2789cce20a0,inv-248600b1fbdc,file-82f07ce6a1e7,65,2026-03-10T03:15:17,webserver01,sshd,1409,unparsed,unknown,,,,,,,,input_userauth_request: invalid user pi [preauth],Unknown,Informational,0.5,[],,2026-08-03T16:44:07.802494
event-48425a375a1c,inv-248600b1fbdc,file-82f07ce6a1e7,66,2026-03-10T03:15:17,webserver01,sshd,1409,ssh_invalid_user,authentication,pi,,198.51.100.23,48004,,,failed,Failed password for invalid user pi from 198.51.100.23 port 48004 ssh2,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.802606
event-57d8e33741f4,inv-248600b1fbdc,file-82f07ce6a1e7,67,2026-03-10T03:15:55,webserver01,sshd,1412,ssh_invalid_user,authentication,database,,198.51.100.23,54358,,,failed,Invalid user database from 198.51.100.23 port 54358,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.802695
event-7408172f0535,inv-248600b1fbdc,file-82f07ce6a1e7,68,2026-03-10T03:15:55,webserver01,sshd,1412,unparsed,unknown,,,,,,,,input_userauth_request: invalid user database [preauth],Unknown,Informational,0.5,[],,2026-08-03T16:44:07.802783
event-fde8e34fffb1,inv-248600b1fbdc,file-82f07ce6a1e7,69,2026-03-10T03:15:55,webserver01,sshd,1412,ssh_invalid_user,authentication,database,,198.51.100.23,54358,,,failed,Failed password for invalid user database from 198.51.100.23 port 54358 ssh2,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.802903
event-c232410fc4f7,inv-248600b1fbdc,file-82f07ce6a1e7,70,2026-03-10T03:16:34,webserver01,sshd,1421,ssh_invalid_user,authentication,database,,198.51.100.23,40256,,,failed,Invalid user database from 198.51.100.23 port 40256,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.802999
event-c1e8919f966b,inv-248600b1fbdc,file-82f07ce6a1e7,71,2026-03-10T03:16:34,webserver01,sshd,1421,unparsed,unknown,,,,,,,,input_userauth_request: invalid user database [preauth],Unknown,Informational,0.5,[],,2026-08-03T16:44:07.803086
event-9a56169fc132,inv-248600b1fbdc,file-82f07ce6a1e7,72,2026-03-10T03:16:34,webserver01,sshd,1421,ssh_invalid_user,authentication,database,,198.51.100.23,40256,,,failed,Failed password for invalid user database from 198.51.100.23 port 40256 ssh2,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.803203
event-ca46701ec46e,inv-248600b1fbdc,file-82f07ce6a1e7,73,2026-03-10T03:17:13,webserver01,sshd,1423,ssh_invalid_user,authentication,support,,198.51.100.23,44400,,,failed,Invalid user support from 198.51.100.23 port 44400,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.803295
event-c5266484894e,inv-248600b1fbdc,file-82f07ce6a1e7,74,2026-03-10T03:17:13,webserver01,sshd,1423,unparsed,unknown,,,,,,,,input_userauth_request: invalid user support [preauth],Unknown,Informational,0.5,[],,2026-08-03T16:44:07.803382
event-576706f01d18,inv-248600b1fbdc,file-82f07ce6a1e7,75,2026-03-10T03:17:13,webserver01,sshd,1423,ssh_invalid_user,authentication,support,,198.51.100.23,44400,,,failed,Failed password for invalid user support from 198.51.100.23 port 44400 ssh2,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.803491
event-265a252f4560,inv-248600b1fbdc,file-82f07ce6a1e7,76,2026-03-10T03:17:40,webserver01,sshd,1425,ssh_invalid_user,authentication,postgres,,198.51.100.23,58128,,,failed,Invalid user postgres from 198.51.100.23 port 58128,Critical,High,0.5,"['AUTH-002', 'AUTH-003']",,2026-08-03T16:44:07.803585
