event_id,investigation_id,evidence_file_id,line_number,timestamp,hostname,process,process_id,event_type,event_category,username,target_username,source_ip,source_port,authentication_method,command,result,raw_message,classification,severity,confidence,matched_rule_ids,parsing_error,created_at
event-1f5232247dbd,inv-6d8cf13d7b5a,file-097ff055b132,1,2026-03-09T06:14:00,webserver01,kernel,,unparsed,unknown,,,,,,,,"[782554.149] eth0: renewed DHCP lease, IP 10.0.0.15",Unknown,Informational,0.5,[],,2026-08-04T07:21:52.068415
event-cd77db7da077,inv-6d8cf13d7b5a,file-097ff055b132,2,2026-03-09T06:20:00,webserver01,kernel,,unparsed,unknown,,,,,,,,"[483452.696] eth0: renewed DHCP lease, IP 10.0.0.15",Unknown,Informational,0.5,[],,2026-08-04T07:21:52.071808
event-af4464a13a96,inv-6d8cf13d7b5a,file-097ff055b132,3,2026-03-09T06:25:00,webserver01,kernel,,unparsed,unknown,,,,,,,,"[139317.188] eth0: renewed DHCP lease, IP 10.0.0.15",Unknown,Informational,0.5,[],,2026-08-04T07:21:52.071995
event-4936b2483569,inv-6d8cf13d7b5a,file-097ff055b132,4,2026-03-09T06:42:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Reloaded A high performance web server and a reverse proxy server.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.072178
event-11195c2ced0c,inv-6d8cf13d7b5a,file-097ff055b132,5,2026-03-09T06:48:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Started Session 946 of user deploy.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.072352
event-836a3657618a,inv-6d8cf13d7b5a,file-097ff055b132,6,2026-03-09T07:10:00,webserver01,CRON,4022,cron_execution,persistence,,,,,,/usr/sbin/logrotate /etc/logrotate.conf,success,(root) CMD (/usr/sbin/logrotate /etc/logrotate.conf),Normal,Informational,0.5,[],,2026-08-04T07:21:52.072495
event-b87a1612c255,inv-6d8cf13d7b5a,file-097ff055b132,7,2026-03-09T07:34:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Started Session 690 of user deploy.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.072842
event-58ac6a0e7a26,inv-6d8cf13d7b5a,file-097ff055b132,8,2026-03-09T07:56:00,webserver01,CRON,4027,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet --no-self-upgrade,success,(root) CMD (/usr/bin/certbot renew --quiet --no-self-upgrade),Normal,Informational,0.5,[],,2026-08-04T07:21:52.072987
event-446d1f6eec60,inv-6d8cf13d7b5a,file-097ff055b132,9,2026-03-09T08:01:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Started Session 396 of user deploy.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.073168
event-66920994b086,inv-6d8cf13d7b5a,file-097ff055b132,10,2026-03-09T08:18:00,webserver01,CRON,4032,cron_execution,persistence,,,,,,/usr/sbin/logrotate /etc/logrotate.conf,success,(root) CMD (/usr/sbin/logrotate /etc/logrotate.conf),Normal,Informational,0.5,[],,2026-08-04T07:21:52.073301
event-86be2606e0d3,inv-6d8cf13d7b5a,file-097ff055b132,11,2026-03-09T08:40:00,webserver01,CRON,4043,cron_execution,persistence,,,,,,/usr/bin/certbot renew --quiet --no-self-upgrade,success,(root) CMD (/usr/bin/certbot renew --quiet --no-self-upgrade),Normal,Informational,0.5,[],,2026-08-04T07:21:52.073478
event-2cb0527b8b75,inv-6d8cf13d7b5a,file-097ff055b132,12,2026-03-09T08:49:00,webserver01,CRON,4053,cron_execution,persistence,,,,,,/usr/sbin/logrotate /etc/logrotate.conf,success,(root) CMD (/usr/sbin/logrotate /etc/logrotate.conf),Normal,Informational,0.5,[],,2026-08-04T07:21:52.073659
event-e5fcee209c01,inv-6d8cf13d7b5a,file-097ff055b132,13,2026-03-09T09:13:00,webserver01,CRON,4055,cron_execution,persistence,,,,,,/usr/sbin/logrotate /etc/logrotate.conf,success,(root) CMD (/usr/sbin/logrotate /etc/logrotate.conf),Normal,Informational,0.5,[],,2026-08-04T07:21:52.073826
event-7f07748ebf81,inv-6d8cf13d7b5a,file-097ff055b132,14,2026-03-09T09:34:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Started Session 161 of user deploy.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.073992
event-075159c1e3fc,inv-6d8cf13d7b5a,file-097ff055b132,15,2026-03-09T09:57:00,webserver01,CRON,4076,cron_execution,persistence,,,,,,/usr/sbin/logrotate /etc/logrotate.conf,success,(root) CMD (/usr/sbin/logrotate /etc/logrotate.conf),Normal,Informational,0.5,[],,2026-08-04T07:21:52.074133
event-5353ee75f70a,inv-6d8cf13d7b5a,file-097ff055b132,16,2026-03-09T10:18:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Reloaded A high performance web server and a reverse proxy server.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.074292
event-f06a3863fa71,inv-6d8cf13d7b5a,file-097ff055b132,17,2026-03-09T10:36:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Started Session 470 of user deploy.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.074442
event-e0140c0c89e9,inv-6d8cf13d7b5a,file-097ff055b132,18,2026-03-09T10:49:00,webserver01,CRON,4093,cron_execution,persistence,,,,,,/usr/sbin/logrotate /etc/logrotate.conf,success,(root) CMD (/usr/sbin/logrotate /etc/logrotate.conf),Normal,Informational,0.5,[],,2026-08-04T07:21:52.074562
event-d221486dcc50,inv-6d8cf13d7b5a,file-097ff055b132,19,2026-03-09T11:00:00,webserver01,CRON,4098,cron_execution,persistence,,,,,,/usr/sbin/logrotate /etc/logrotate.conf,success,(root) CMD (/usr/sbin/logrotate /etc/logrotate.conf),Normal,Informational,0.5,[],,2026-08-04T07:21:52.074739
event-b04473cbbbe1,inv-6d8cf13d7b5a,file-097ff055b132,20,2026-03-09T11:20:00,webserver01,systemd,1,unparsed,unknown,,,,,,,,Reloaded A high performance web server and a reverse proxy server.,Unknown,Informational,0.5,[],,2026-08-04T07:21:52.074897
